ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Discount_Level,Complaint_Ratio,Loyal_Customer,Shipping_Efficiency,Cost_Per_Weight
94,1,2,3,3,219,3,2,0,17,3387,1,2,0.75,0,0.75,0.06465899025686449
95,2,2,4,1,213,4,0,0,35,2343,1,0,0.8,1,0.2,0.09090909090909091
96,4,2,2,3,235,3,1,1,57,2034,1,3,0.5,0,1.0,0.11553588987217306
97,3,2,3,3,149,2,2,1,18,1225,1,2,1.0,0,0.75,0.12163265306122449
98,4,2,4,1,271,2,2,0,8,2401,1,1,1.3333333333333333,0,0.2,0.11286963765097877
99,0,2,3,5,144,4,2,1,5,1104,1,1,0.6,1,1.25,0.13043478260869565
100,1,2,4,2,145,2,2,1,21,1617,1,0,1.3333333333333333,0,0.4,0.08967223252937538
101,2,2,5,3,143,2,2,1,59,1837,1,3,1.6666666666666667,0,0.5,0.07784431137724551
102,4,2,5,5,227,4,1,1,53,2624,1,3,1.0,1,0.8333333333333334,0.08650914634146341
103,3,2,2,1,213,3,1,1,29,2732,1,0,0.5,0,0.3333333333333333,0.07796486090775988
104,4,2,5,1,144,4,1,1,37,1658,1,0,1.0,1,0.16666666666666666,0.08685162846803378
105,0,2,3,3,218,3,1,1,3,2255,1,1,0.75,0,0.75,0.09667405764966741
106,1,2,4,2,144,3,2,1,59,1588,1,3,1.0,0,0.4,0.0906801007556675
107,2,2,3,1,238,3,1,1,17,2624,1,2,0.75,0,0.25,0.09070121951219512
108,4,2,4,5,216,3,0,1,26,2053,1,0,1.0,0,1.0,0.10521188504627374
109,3,2,4,5,238,3,0,0,55,3257,1,3,1.0,0,1.0,0.07307338041142156
110,4,2,4,1,141,3,2,1,47,1250,1,3,1.0,0,0.2,0.1128
111,0,1,3,1,158,2,1,1,2,1284,1,1,1.0,0,0.25,0.12305295950155763
112,1,1,4,2,239,3,1,0,65,3679,1,3,1.0,0,0.4,0.06496330524599075
113,2,1,4,3,175,2,1,1,25,1816,1,0,1.3333333333333333,0,0.6,0.09636563876651982
114,4,1,3,2,263,3,1,1,41,2817,1,3,0.75,0,0.5,0.09336173233936812
115,3,1,3,5,168,2,0,1,50,1616,1,3,1.0,0,1.25,0.10396039603960396
116,4,1,3,4,176,3,0,1,36,1779,1,0,0.75,0,1.0,0.09893198426082069
117,0,1,4,1,150,4,0,1,60,1024,1,3,0.8,1,0.2,0.146484375
118,1,1,4,3,265,2,2,0,31,2326,1,0,1.3333333333333333,0,0.6,0.11392949269131557
119,2,1,2,5,263,3,1,0,5,2947,1,1,0.5,0,1.6666666666666667,0.08924329826942654
120,4,1,5,1,145,3,1,1,20,1387,1,2,1.25,0,0.16666666666666666,0.10454217736121124
121,3,1,4,2,183,3,1,0,33,2741,1,0,1.0,0,0.4,0.06676395476103612
122,4,1,3,3,205,3,2,0,19,2167,1,2,0.75,0,0.75,0.09460083064143977
123,0,1,4,2,160,3,1,1,64,1714,1,3,1.0,0,0.4,0.09334889148191365
124,1,1,3,3,252,2,2,0,48,2102,1,3,1.0,0,0.75,0.11988582302568981
125,2,1,5,5,222,3,1,1,10,2280,1,1,1.25,0,0.8333333333333334,0.09736842105263158
126,4,1,3,3,203,2,1,1,25,3607,1,0,1.0,0,0.75,0.05627945661214306
127,3,1,4,5,220,3,2,1,40,3516,1,0,1.0,0,1.0,0.06257110352673492
128,4,1,3,3,147,4,1,0,60,1722,1,3,0.6,1,0.75,0.08536585365853659
129,0,1,4,4,200,4,2,1,16,2060,1,2,0.8,1,0.8,0.0970873786407767
130,1,1,4,5,224,4,2,1,21,2026,1,0,0.8,1,1.0,0.11056268509378085
131,2,1,3,5,179,2,1,0,17,1364,1,2,1.0,0,1.25,0.1312316715542522
132,4,1,3,4,144,3,1,1,50,1865,1,3,0.75,0,1.0,0.0772117962466488
133,3,0,5,2,247,3,1,1,17,3889,1,2,1.25,0,0.3333333333333333,0.06351247107225508
134,4,0,5,4,280,6,2,0,51,3582,1,3,0.7142857142857143,1,0.6666666666666666,0.07816862088218872
135,0,0,3,3,168,2,2,0,1,1829,1,1,1.0,0,0.75,0.09185347184253691
136,1,0,3,5,157,3,2,0,4,1889,1,1,0.75,0,1.25,0.08311275807305453
137,2,0,3,3,189,4,2,0,51,2208,1,3,0.6,1,0.75,0.08559782608695653
138,4,0,3,5,162,2,2,1,7,1739,1,1,1.0,0,1.25,0.09315698677400805
139,3,0,4,1,207,5,1,1,48,2399,1,3,0.6666666666666666,1,0.2,0.08628595248020009
140,4,0,5,1,237,2,1,0,10,3860,1,1,1.6666666666666667,0,0.16666666666666666,0.061398963730569946
141,0,0,4,4,264,3,0,1,59,2020,1,3,1.0,0,0.8,0.1306930693069307
142,1,0,5,4,149,3,1,1,51,1645,1,3,1.25,0,0.6666666666666666,0.09057750759878419
143,2,0,5,5,162,3,1,1,41,1462,1,3,1.25,0,0.8333333333333334,0.11080711354309165
144,4,0,2,1,205,4,2,0,63,2156,1,3,0.4,1,0.3333333333333333,0.0950834879406308
145,3,0,2,1,158,3,2,0,51,1540,1,3,0.5,0,0.3333333333333333,0.1025974025974026
146,4,0,2,2,248,2,1,1,46,3707,1,3,0.6666666666666666,0,0.6666666666666666,0.06690045859185326
147,0,0,3,5,191,3,1,1,23,3750,1,0,0.75,0,1.25,0.05093333333333333
148,1,0,4,3,146,4,2,0,24,1844,1,0,0.8,1,0.6,0.07917570498915401
149,2,0,3,3,135,3,1,1,56,1490,1,3,0.75,0,0.75,0.09060402684563758
150,4,0,5,1,149,3,1,1,40,1062,1,0,1.25,0,0.16666666666666666,0.14030131826741996
151,3,0,4,4,220,2,2,0,7,2551,1,1,1.3333333333333333,0,0.8,0.0862406899255194
152,4,0,5,3,98,5,2,1,44,1269,1,3,0.8333333333333334,1,0.5,0.07722616233254531
153,0,0,3,4,97,4,1,1,32,1238,1,0,0.6,1,1.0,0.07835218093699516
154,1,0,3,3,183,2,1,1,53,3932,1,3,1.0,0,0.75,0.0465412004069176
155,2,2,3,3,162,3,2,0,8,1869,1,1,0.75,0,0.75,0.08667736757624397
156,4,2,5,1,114,4,1,0,47,1443,1,3,1.0,1,0.16666666666666666,0.079002079002079
157,3,2,6,3,275,5,1,1,41,2491,1,3,1.0,1,0.42857142857142855,0.11039743075070253
158,4,2,3,2,203,2,2,0,39,3845,1,0,1.0,0,0.5,0.05279583875162549
159,0,2,5,5,205,2,0,1,65,3671,1,3,1.6666666666666667,0,0.8333333333333334,0.055843094524652685
160,1,2,3,3,149,3,1,0,63,1946,1,3,0.75,0,0.75,0.07656731757451182
161,2,2,2,2,112,4,2,1,56,1138,1,3,0.4,1,0.6666666666666666,0.0984182776801406
162,4,2,3,1,207,3,2,0,56,3482,1,3,0.75,0,0.25,0.059448592762780014
163,3,2,4,1,261,4,1,0,58,3427,1,3,0.8,1,0.2,0.07615990662386928
164,4,2,5,2,274,3,2,1,6,3375,1,1,1.25,0,0.3333333333333333,0.08118518518518518
165,0,2,3,5,141,2,1,1,52,1692,1,3,1.0,0,1.25,0.08333333333333333
166,1,2,3,3,166,4,2,0,17,1498,1,2,0.6,1,0.75,0.11081441922563418
167,2,2,5,2,141,3,0,0,34,1020,1,0,1.25,0,0.3333333333333333,0.13823529411764707
168,4,2,4,5,152,3,1,1,43,1709,1,3,1.0,0,1.0,0.08894090111176127
169,3,2,4,2,250,3,1,0,53,2478,1,3,1.0,0,0.4,0.10088781275221953
170,4,2,4,3,161,3,2,0,28,1809,1,0,1.0,0,0.6,0.08899944720840243
171,0,2,4,3,185,3,2,0,10,2263,1,1,1.0,0,0.6,0.08174988952717631
172,1,2,4,4,176,4,0,0,52,1096,1,3,0.8,1,0.8,0.16058394160583941
173,2,2,3,4,148,3,1,1,56,1550,1,3,0.75,0,1.0,0.09548387096774194
174,4,2,3,2,270,3,1,0,63,2751,1,3,0.75,0,0.5,0.09814612868047982
175,3,2,3,3,242,3,1,0,51,3935,1,3,0.75,0,0.75,0.061499364675984755
176,4,2,4,4,150,2,2,1,3,1285,1,1,1.3333333333333333,0,0.8,0.11673151750972763
177,0,2,4,5,192,3,0,1,20,3872,1,2,1.0,0,1.0,0.049586776859504134
178,1,2,4,5,116,3,2,1,54,1314,1,3,1.0,0,1.0,0.0882800608828006
179,2,2,3,3,192,3,2,0,2,3995,1,1,0.75,0,0.75,0.04806007509386733
180,4,2,5,5,255,4,2,1,3,3440,1,1,1.0,1,0.8333333333333334,0.07412790697674419
181,3,2,4,1,161,7,2,0,18,1294,1,2,0.5,1,0.2,0.12442040185471406
182,4,2,4,5,157,3,1,1,20,1487,1,2,1.0,0,1.0,0.10558170813718896
183,0,2,3,2,164,10,0,0,28,1940,1,0,0.2727272727272727,1,0.5,0.08453608247422681
184,1,2,3,5,162,7,2,0,16,1052,1,2,0.375,1,1.25,0.15399239543726237
185,2,2,3,3,146,2,1,1,50,1486,1,3,1.0,0,0.75,0.09825033647375504
186,4,2,3,2,209,3,2,1,54,3001,1,3,0.75,0,0.5,0.0696434521826058
187,3,2,5,4,134,2,2,0,55,1386,1,3,1.6666666666666667,0,0.6666666666666666,0.09668109668109669
188,4,2,2,1,222,2,2,1,5,3778,1,1,0.6666666666666666,0,0.3333333333333333,0.058761249338274216
189,0,2,2,5,139,3,1,0,27,1233,1,0,0.5,0,1.6666666666666667,0.11273317112733171
190,1,2,2,4,134,3,1,0,42,1415,1,3,0.5,0,1.3333333333333333,0.09469964664310954
191,2,2,2,5,130,3,1,1,16,1092,1,2,0.5,0,1.6666666666666667,0.11904761904761904
192,4,2,2,5,133,3,1,0,62,1596,1,3,0.5,0,1.6666666666666667,0.08333333333333333
193,3,2,2,4,140,3,1,0,7,1411,1,1,0.5,0,1.3333333333333333,0.09922041105598867
194,4,2,2,2,158,3,1,1,28,1968,1,0,0.5,0,0.6666666666666666,0.08028455284552846
195,0,2,4,2,270,4,1,0,46,1736,1,3,0.8,1,0.4,0.15552995391705068
196,1,2,2,5,140,3,1,0,30,1030,1,0,0.5,0,1.6666666666666667,0.13592233009708737
197,2,2,2,2,135,3,1,1,15,1339,1,2,0.5,0,0.6666666666666666,0.10082150858849888
198,4,2,2,3,136,3,1,0,19,1568,1,2,0.5,0,1.0,0.08673469387755102
199,3,2,2,3,142,3,2,0,38,7640,1,0,0.5,0,1.0,0.018586387434554975
200,4,2,2,2,154,3,2,1,38,7846,1,0,0.5,0,0.6666666666666666,0.01962783583991843
201,0,2,2,3,139,3,1,1,9,1471,1,1,0.5,0,1.0,0.09449354180829368
202,1,2,2,3,160,3,1,0,43,1251,1,3,0.5,0,1.0,0.1278976818545164
203,2,2,2,4,134,3,1,1,58,1067,1,3,0.5,0,1.3333333333333333,0.12558575445173384
204,4,2,5,3,161,5,0,1,48,1883,1,3,0.8333333333333334,1,0.5,0.08550185873605948
205,3,2,2,5,155,3,1,1,23,1602,1,0,0.5,0,1.6666666666666667,0.09675405742821473
206,4,2,2,3,145,3,2,0,24,7588,1,0,0.5,0,1.0,0.0191091196626252
207,0,2,2,2,157,3,1,1,1,1477,1,1,0.5,0,0.6666666666666666,0.10629654705484089
208,1,2,2,2,160,3,1,1,48,1691,1,3,0.5,0,0.6666666666666666,0.09461856889414548
209,2,2,2,4,152,3,1,1,55,1498,1,3,0.5,0,1.3333333333333333,0.10146862483311081
210,4,2,2,5,148,3,0,0,11,1502,1,2,0.5,0,1.6666666666666667,0.0985352862849534
211,3,2,2,1,127,3,1,0,15,1522,1,2,0.5,0,0.3333333333333333,0.08344283837056504
212,4,2,2,5,154,3,1,0,21,1113,1,0,0.5,0,1.6666666666666667,0.13836477987421383
213,0,2,2,5,127,3,1,1,44,1341,1,3,0.5,0,1.6666666666666667,0.0947054436987323
214,1,2,2,5,160,3,2,0,31,7401,1,0,0.5,0,1.6666666666666667,0.02161870017565194
215,2,2,2,4,129,3,1,0,48,1219,1,3,0.5,0,1.3333333333333333,0.10582444626743231
216,4,2,2,5,158,3,1,0,40,1722,1,0,0.5,0,1.6666666666666667,0.09175377468060394
217,3,2,4,3,185,3,2,1,3,3131,1,1,1.0,0,0.6,0.05908655381667199
218,4,2,4,4,176,4,0,0,63,1293,1,3,0.8,1,0.8,0.13611755607115236
219,0,2,3,4,148,3,1,1,37,1523,1,0,0.75,0,1.0,0.09717662508207485
220,1,2,3,5,270,3,1,1,60,3885,1,3,0.75,0,1.25,0.0694980694980695
221,2,2,3,4,242,3,1,1,29,2381,1,0,0.75,0,1.0,0.10163796724065519
222,4,2,4,3,150,2,2,1,31,1588,1,0,1.3333333333333333,0,0.6,0.09445843828715365
223,3,2,4,2,192,3,0,1,4,2061,1,1,1.0,0,0.4,0.09315866084425037
224,4,2,4,5,116,3,2,0,9,1314,1,1,1.0,0,1.0,0.0882800608828006
225,0,2,3,4,192,3,2,0,31,3331,1,0,0.75,0,1.0,0.05764034824377064
226,1,2,5,4,255,4,2,0,38,2771,1,0,1.0,1,0.6666666666666666,0.09202453987730061
227,2,2,4,3,161,7,2,1,63,1496,1,3,0.5,1,0.6,0.10762032085561497
228,4,2,4,2,157,3,1,0,48,1393,1,3,1.0,0,0.4,0.11270638908829864
229,3,2,3,2,164,10,0,1,14,1375,1,2,0.2727272727272727,1,0.5,0.11927272727272727
230,4,2,3,3,162,7,2,0,42,1278,1,3,0.375,1,0.75,0.1267605633802817
231,0,2,3,1,146,2,1,0,54,1528,1,3,1.0,0,0.25,0.09554973821989529
232,1,2,3,4,209,3,2,0,60,2240,1,3,0.75,0,1.0,0.09330357142857143
233,2,2,5,5,134,2,2,1,53,1088,1,3,1.6666666666666667,0,0.8333333333333334,0.12316176470588236
234,4,2,2,1,222,2,2,1,58,3626,1,3,0.6666666666666666,0,0.3333333333333333,0.061224489795918366
235,3,2,2,1,139,3,1,0,39,1582,1,0,0.5,0,0.3333333333333333,0.08786346396965866
236,4,2,2,2,134,3,1,1,38,1352,1,0,0.5,0,0.6666666666666666,0.09911242603550297
237,0,2,2,3,130,3,1,0,48,1801,1,3,0.5,0,1.0,0.07218212104386452
238,1,2,2,2,133,3,1,1,5,1268,1,1,0.5,0,0.6666666666666666,0.10488958990536278
239,2,2,2,3,140,3,1,0,23,1372,1,0,0.5,0,1.0,0.10204081632653061
240,4,2,2,3,158,3,1,1,10,1515,1,1,0.5,0,1.0,0.1042904290429043
241,3,2,4,5,270,4,1,1,65,1818,1,3,0.8,1,1.0,0.1485148514851485
242,4,2,2,4,140,3,1,0,33,1278,1,0,0.5,0,1.3333333333333333,0.10954616588419405
243,0,2,2,2,135,3,1,1,58,1734,1,3,0.5,0,0.6666666666666666,0.07785467128027682
244,1,2,2,4,136,3,1,1,43,1958,1,3,0.5,0,1.3333333333333333,0.06945863125638406
245,2,2,2,1,142,3,2,0,8,6064,1,1,0.5,0,0.3333333333333333,0.02341688654353562
246,4,2,2,4,154,3,2,0,48,7684,1,3,0.5,0,1.3333333333333333,0.0200416449765747
247,3,2,2,3,139,3,1,0,3,1788,1,1,0.5,0,1.0,0.07774049217002237
248,4,1,2,4,160,3,1,0,50,1030,1,3,0.5,0,1.3333333333333333,0.1553398058252427
249,0,1,2,2,134,3,1,0,38,1530,1,0,0.5,0,0.6666666666666666,0.08758169934640522
250,1,1,5,5,161,5,0,0,54,1511,1,3,0.8333333333333334,1,0.8333333333333334,0.10655195234943746
251,2,1,2,3,155,3,1,0,45,1639,1,3,0.5,0,1.0,0.09456985967053082
252,4,1,2,2,145,3,2,0,5,6102,1,1,0.5,0,0.6666666666666666,0.023762700753851198
253,3,1,2,1,157,3,1,1,58,1930,1,3,0.5,0,0.3333333333333333,0.08134715025906736
254,4,1,2,5,160,3,1,0,19,1399,1,2,0.5,0,1.6666666666666667,0.11436740528949249
255,0,1,2,2,152,3,1,0,61,1800,1,3,0.5,0,0.6666666666666666,0.08444444444444445
256,1,1,2,2,148,3,0,0,35,1349,1,0,0.5,0,0.6666666666666666,0.10971089696071164
257,2,1,2,2,127,3,1,1,13,1128,1,2,0.5,0,0.6666666666666666,0.1125886524822695
258,4,1,2,2,129,3,2,0,22,6614,1,0,0.5,0,0.6666666666666666,0.019504082249773208
259,3,1,2,3,158,3,1,0,13,1245,1,2,0.5,0,1.0,0.12690763052208837
260,4,1,2,4,147,3,1,1,5,1920,1,1,0.5,0,1.3333333333333333,0.0765625
261,0,1,2,5,159,3,1,0,49,1621,1,3,0.5,0,1.6666666666666667,0.09808760024676126
262,1,1,2,3,151,3,1,0,23,1930,1,0,0.5,0,1.0,0.07823834196891191
263,2,1,3,1,294,4,1,0,52,1089,1,3,0.6,1,0.25,0.2699724517906336
264,4,1,3,2,226,2,2,1,45,1446,1,3,1.0,0,0.5,0.15629322268326418
265,3,1,5,3,271,5,0,1,9,1813,1,1,0.8333333333333334,1,0.5,0.14947600661886376
266,4,1,7,2,203,5,2,0,61,1856,1,3,1.1666666666666667,1,0.25,0.109375
267,0,1,2,3,264,4,1,0,10,1648,1,1,0.4,1,1.0,0.16019417475728157
268,1,1,4,1,258,3,2,1,36,2211,1,0,1.0,0,0.2,0.11668928086838534
269,2,1,3,5,241,3,1,0,21,3078,1,0,0.75,0,1.25,0.07829759584145549
270,4,0,4,5,208,3,2,1,23,2056,1,0,1.0,0,1.0,0.10116731517509728
271,3,0,3,2,209,5,2,0,12,3054,1,2,0.5,1,0.5,0.06843483955468238
272,4,0,5,1,182,2,2,0,23,2707,1,0,1.6666666666666667,0,0.16666666666666666,0.06723309937199852
273,0,0,4,5,148,2,2,0,43,1087,1,3,1.3333333333333333,0,1.0,0.13615455381784727
274,1,0,2,3,183,2,2,0,52,3199,1,3,0.6666666666666666,0,1.0,0.05720537668021257
275,2,0,3,5,229,6,2,1,22,2717,1,0,0.42857142857142855,1,1.25,0.08428413691571586
276,4,0,5,5,115,5,1,0,26,1692,1,0,0.8333333333333334,1,0.8333333333333334,0.06796690307328605
277,3,0,4,2,136,3,1,0,65,1962,1,3,1.0,0,0.4,0.06931702344546381
278,4,0,4,4,212,3,1,1,21,3307,1,0,1.0,0,0.8,0.06410644088297551
279,0,0,4,3,171,3,1,0,24,1304,1,0,1.0,0,0.6,0.13113496932515337
280,1,0,3,1,151,2,1,1,60,1925,1,3,1.0,0,0.25,0.07844155844155844
281,2,0,3,1,205,3,2,1,39,3062,1,0,0.75,0,0.25,0.06694970607446114
282,4,0,5,4,147,3,2,1,23,1132,1,0,1.25,0,0.6666666666666666,0.12985865724381626
